Year,Rank,Player,Team,Pos,PosRank,Bye
2026,58,Jalen Hurts,,QB,6,10
2026,59,Dak Prescott,,QB,7,14
2026,60,Joe Burrow,,QB,8,6
2026,61,Terry McLaurin,,WR,25,7
2026,62,Jalen Coker,,WR,26,5
2026,63,Josh Downs,,WR,27,13
2026,64,Matthew Golden,,WR,28,11
2026,65,Jadarian Price,,RB,23,11
2026,66,Jaylen Warren,,RB,24,9
2026,67,Josh Jacobs,,RB,25,11
2026,68,TreVeyon Henderson,,RB,26,11
2026,69,Tucker Kraft,,TE,7,11
2026,70,Drake Maye,,QB,9,11
2026,71,DJ Moore,,WR,29,7
2026,72,A.J. Brown,,WR,30,11
2026,73,Stefon Diggs,,WR,31,7
2026,74,Travis Kelce,,TE,8,5
2026,75,Jameson Williams,,WR,32,6
2026,76,Quinshon Judkins,,RB,27,11
2026,77,Luther Burden,III,WR,33,10
2026,78,Travis Etienne,,RB,28,8
2026,79,Colston Loveland,,TE,9,10
2026,80,Rome Odunze,,WR,34,10
2026,81,Rhamondre Stevenson,,RB,29,11
2026,82,Justin Herbert,,QB,10,7
2026,83,Matthew Stafford,,QB,11,11
2026,84,Aaron Jones,,RB,30,6
2026,85,Chris Godwin Jr.,,WR,35,10
2026,86,Deebo Samuel Sr.,,WR,36,8
2026,87,Oronde Gadsden,II,TE,10,7
2026,88,Kyle Monangai,,RB,31,10
2026,89,Michael Wilson,,WR,37,14
2026,90,DK Metcalf,,WR,38,9
2026,91,Brian Thomas Jr.,,WR,39,7
2026,92,Romeo Doubs,,WR,40,11
2026,93,Devaughn Vele,,WR,41,8
2026,94,Blake Corum,,RB,32,11
2026,95,RJ Harvey,,RB,33,10
2026,96,Isaiah Likely,,TE,11,8
2026,97,Carnell Tate,,WR,42,9
2026,98,Tyler Shough,,QB,12,8
2026,99,Tony Pollard,,RB,34,9
2026,100,Jake Ferguson,,TE,12,14
2026,101,Bryce Young,,QB,13,5
2026,102,Harold Fannin Jr.,,TE,13,11
2026,103,Jordan Love,,QB,14,11
2026,104,Jared Goff,,QB,15,6
2026,105,Rachaad White,,RB,35,7
2026,106,Bo Nix,,QB,16,10
2026,107,Jonah Coleman,,RB,36,10
2026,108,Dontayvion Wicks,,WR,43,10
2026,109,Marvin Harrison Jr.,,WR,44,14
2026,110,Kyler Murray,,QB,17,6
2026,111,Denzel Boston,,WR,45,11
2026,112,Juwan Johnson,,TE,14,8
2026,113,Kyle Pitts,,TE,15,11
2026,114,Mark Andrews,,TE,16,13
2026,115,Kalif Raymond,,WR,46,10
2026,116,Adonai Mitchell,,WR,47,13
2026,117,Xavier Worthy,,WR,48,5
2026,118,Jacory Croskey-Merritt,,RB,37,7
2026,119,Michael Pittman,,WR,49,9
2026,120,Tyler Allgeier,,RB,38,14
2026,121,Tyjae Spears,,RB,39,9
2026,122,Tank Bigsby,,RB,40,10
2026,123,Baker Mayfield,,QB,18,10
2026,124,Kaelon Black,,RB,41,8
2026,125,Tre Tucker,,WR,50,13
2026,126,Woody Marks,,RB,42,8
2026,127,Jordyn Tyson,,WR,51,8
2026,128,Courtland Sutton,,WR,52,10
2026,129,Quentin Johnston,,WR,53,7
2026,130,Wan'Dale Robinson,,WR,54,9
2026,131,Alvin Kamara,,RB,43,8
2026,132,Braelon Allen,,RB,44,13
2026,133,Emmett Johnson,,RB,45,5
2026,134,Dalton Schultz,,TE,17,8
2026,135,Kenny Gainwell,,RB,46,10
2026,136,Makai Lemon,,WR,55,10
2026,137,Rico Dowdle,,RB,47,9
2026,138,Jonathon Brooks,,RB,48,5
2026,139,J.K. Dobbins,,RB,49,10
2026,140,Khalil Shakir,,WR,56,7
2026,141,Rashod Bateman,,WR,57,13
2026,142,Daniel Jones,,QB,19,13
2026,143,KC Concepcion,,WR,58,11
2026,144,Jakobi Meyers,,WR,59,7
2026,145,Malik Willis,,QB,20,6
2026,146,Rashid Shaheed,,WR,60,11
2026,147,Keon Coleman,,WR,61,7
2026,148,Brenton Strange,,TE,18,7
2026,149,C.J. Stroud,,QB,21,8
2026,150,Pat Freiermuth,,TE,19,9
2026,151,Keaton Mitchell,,RB,50,7
2026,152,Chris Rodriguez Jr.,,RB,51,7
2026,153,Mike Washington Jr.,,RB,52,13
2026,154,Ryan Flournoy,,WR,62,14
2026,155,Malik Washington,,WR,63,6
2026,156,Jordan Addison,,WR,64,6
2026,157,Evan Engram,,TE,20,10
2026,158,Kenyon Sadiq,,TE,21,13
2026,159,T.J. Hockenson,,TE,22,6
2026,160,Jacoby Brissett,,QB,22,14
2026,161,MarShawn Lloyd,,RB,53,11
2026,162,Brian Robinson,,RB,54,11
2026,163,Hunter Henry,,TE,23,11
2026,164,Zach Charbonnet,,RB,55,11
2026,165,Geno Smith,,QB,23,13
2026,166,Jordan Mason,,RB,56,6
2026,167,Tyquan Thornton,,WR,65,5
2026,168,Pat Bryant,,WR,66,10
2026,169,Mike Gesicki,,TE,24,6
2026,170,Antonio Williams,,WR,67,7
2026,171,Ted Hurst,III,WR,68,10
2026,172,Sam Darnold,,QB,24,11
2026,173,Cam Ward,,QB,25,9
2026,174,Jalen Nailor,,WR,69,13
2026,175,Cooper Kupp,,WR,70,11
2026,176,Elic Ayomanor,,WR,71,9
2026,177,Michael Mayer,,TE,25,13
2026,178,Caleb Douglas,,WR,72,6
2026,179,Roman Wilson,,WR,73,9
2026,180,Troy Franklin,,WR,74,10
2026,181,Jaxson Dart,,QB,26,8
2026,182,Caleb Williams,,QB,27,10
2026,183,Dallas Goedert,,TE,26,10
2026,184,Cade Otton,,TE,27,10
2026,185,Deshaun Watson,,QB,28,11
2026,186,Alec Pierce,,WR,75,13
2026,187,Aaron Rodgers,,QB,29,9
2026,188,Darnell Mooney,,WR,76,8
2026,189,DeMario Douglas,,WR,77,11
2026,190,Jayden Reed,,WR,78,11
2026,191,AJ Barner,,TE,28,11
2026,192,Colby Parkinson,,TE,29,11
2026,193,Darnell Washington,,TE,30,9
2026,194,Terrance Ferguson,,TE,31,11
2026,195,Jack Bech,,WR,79,13
2026,196,Jerry Jeudy,,WR,80,11
2026,197,Jauan Jennings,,WR,81,6
2026,198,Tre Harris,,WR,82,7
2026,199,Kayshon Boutte,,WR,83,8
2026,200,Samaje Perine,,RB,57,6
2026,201,Jaylin Noel,,WR,84,8
2026,202,Omar Cooper Jr.,,WR,85,13
2026,203,Greg Dulcich,,TE,32,6
2026,204,Xavier Hutchinson,,WR,86,8
2026,205,Chris Bell,,WR,87,6
2026,206,Zachariah Branch,,WR,88,11
2026,207,Calvin Ridley,,WR,89,9
2026,208,Chig Okonkwo,,TE,33,7
2026,209,Chris Brooks,,RB,58,11
2026,210,Gunnar Helm,,TE,34,9
2026,211,Cole Kmet,,TE,35,10
2026,212,Jalen McMillan,,WR,90,10
2026,213,KaVontae Turpin,,WR,91,14
2026,214,Demond Claiborne,,RB,59,6
2026,215,Theo Johnson,,TE,36,8
2026,216,Isaac TeSlaa,,WR,92,6
2026,217,George Holani,,RB,60,11
2026,218,Marvin Mims Jr.,,WR,93,10
2026,219,Josh Palmer,,WR,94,7
2026,220,Ty Johnson,,RB,61,7
2026,221,Jayden Daniels,,QB,30,7
2026,222,David Njoku,,TE,37,7
2026,223,Ja'Kobi Lane,,WR,95,13
2026,224,Fernando Mendoza,,QB,31,13
2026,225,Xavier Legette,,WR,96,5
2026,226,Dylan Sampson,,RB,62,11
2026,227,Malachi Fields,,WR,97,8
2026,228,Demarcus Robinson,,WR,98,8
2026,229,Mason Taylor,,TE,38,13
2026,230,De'Zhaun Stribling,,WR,99,8
2026,231,Dawson Knox,,TE,39,7
2026,232,Kendrick Bourne,,WR,100,14
2026,233,Kaytron Allen,,RB,63,7
2026,234,Tyler Higbee,,TE,40,11
2026,235,Noah Gray,,TE,41,5
2026,236,Jahan Dotson,,WR,101,11
2026,237,Elijah Arroyo,,TE,42,11
2026,238,Germie Bernard,,WR,102,9
2026,239,Noah Fant,,TE,43,8
2026,240,Elijah Higgins,,TE,44,14
2026,241,Austin Hooper,,TE,45,11
2026,242,Tory Horton,,WR,103,11
2026,243,Cyrus Allen,,WR,104,5
2026,244,Tanner Hudson,,TE,46,6
2026,245,Tommy Tremble,,TE,47,5
2026,246,Olamide Zaccheaus,,WR,105,11
2026,247,Justice Hill,,RB,64,13
2026,248,Tyrone Tracy Jr.,,RB,65,8
2026,249,Ja'Tavion Sanders,,TE,48,5
2026,250,Colbie Young,,WR,106,6
2026,251,Zavion Thomas,,WR,107,10
2026,252,Isaiah Davis,,RB,66,13
2026,253,Andrei Iosivas,,WR,108,6
2026,254,Jaylen Wright,,RB,67,6
2026,255,John Metchie,III,WR,109,5
2026,256,Bryce Lance,,WR,110,8
2026,257,Eli Stowers,,TE,49,10
2026,258,Christian Kirk,,WR,111,8
2026,259,Matthew Hibner,,TE,50,13
2026,260,Isiah Pacheco,,RB,68,6
2026,261,Oscar Delp,,TE,51,8
2026,262,Jake Tonges,,TE,52,8
